"Part";"Value";"Device";"Package";"Description";"";
"Q2";"";"TRANSISTOR_NPNWIDE";"SOT23-WIDE";"NPN Transistor";"";
"Q3";"";"TRANSISTOR_NPNWIDE";"SOT23-WIDE";"NPN Transistor";"";
"Q4";"PBSS4120T";"TRANSISTOR_NPNWIDE";"SOT23-WIDE";"NPN Transistor";"";
"R1";"2k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R2";"470";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R3";"1k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R4";"1k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R5";"1k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R6";"10k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R7";"220";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R8";"22";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R9";"22";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R10";"1k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R11";"1k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R12";"220";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R13";"220";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R14";"220";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R15";"220";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R16";"220";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R18";"1k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R19";"100";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R22";"10k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"S1";"TL36WO";"TL36WO";"TL3XWO";"TINY SWITCH ON - ON";"";
"S2";"SWITCH-MOMENTARY-2-SMD-1101NE";"SWITCH-MOMENTARY-2-SMD-1101NE";"TACTILE-SWITCH-1101NE";"Various NO switches- pushbuttons, reed, etc";"";
"U$1";"BI-LEVEL-LED-INDICATOR";"BI-LEVEL-LED-INDICATOR";"BI-LEVEL-LED-INDICATOR";"";"";
"U$4";"AVRISP-BOX";"AVRISP-BOX";"AVRISP-BOX";"AVR ISP HEADER";"";
"U$11";"BI-LEVEL-LED-INDICATOR";"BI-LEVEL-LED-INDICATOR";"BI-LEVEL-LED-INDICATOR";"";"";
"U$18";"BI-LEVEL-LED-INDICATOR";"BI-LEVEL-LED-INDICATOR";"BI-LEVEL-LED-INDICATOR";"";"";
"U$19";"BI-LEVEL-LED-INDICATOR";"BI-LEVEL-LED-INDICATOR";"BI-LEVEL-LED-INDICATOR";"";"";
"X1";"mini-usb";"MINI-USB-SCHIELD-32005-301";"32005-301";"MINI USB-B Conector";"";
"X2";"GLX-S-88M";"GLX-S-88M";"GLX-S-88M";"Mod. Jack, Right Angle, 8 posiotion, 8 contatcs RJ45";"";
"XB1";"XBEE-PRO";"XBEE-PRO";"XBEE-PRO";"XBee (TM) /XBee-PRO(TM) OEM RF Modules";"";
"Z1";"CG0603MLC-05E";"VARISTOR-0603";"0603-RES";"Varistor";"";
"Z2";"CG0603MLC-05E";"VARISTOR-0603";"0603-RES";"Varistor";"";
